type,phone,F1_frequency_0.33,F2_frequency_0.33,F3_frequency_0.33,F1_log_bandwidth_0.33,F2_log_bandwidth_0.33,F3_log_bandwidth_0.33
means,r\,521.5396327,1276.667733,1729.514203,1.991118496,2.337433025,2.388411141
matrix,r\,4447.488262,2404.724091,2762.408189,1.218092952,1.018579221,-1.920676076
matrix,r\,2404.724091,30719.2288,25163.76155,-3.195069576,4.731462478,6.905402627
matrix,r\,2762.408189,25163.76155,56378.60508,0.090400647,1.767197107,15.78410155
matrix,r\,1.218092952,-3.195069576,0.090400647,0.068548808,0.01224099,0.012444652
matrix,r\,1.018579221,4.731462478,1.767197107,0.01224099,0.074957704,0.007354893
matrix,r\,-1.920676076,6.905402627,15.78410155,0.012444652,0.007354893,0.097177551
